idestacion,lat,lon,uso,luns,lune,lunt,mars,mare,mart,mies,miee,miet,jues,juee,juet,vies,viee,viet,sabs,sabt,sabe,doms,dome,domt,totals,totale,tipoestacion
0,19.367,-99.159,978,-0.35,0.49,5,-0.34,0.47,5,-0.34,0.49,5,-0.34,0.54,5,-0.34,0.48,5,-0.45,0.21,3,-0.44,0.21,3,-0.37,0.41,5
1,19.363,-99.16,1045,-0.2,0.27,2,-0.21,0.3,2,-0.2,0.31,2,-0.21,0.3,2,-0.25,0.21,3,-0.27,0.11,3,-0.24,0.09,1,-0.22,0.22,6
2,19.365,-99.163,1056,-0.28,0.22,3,-0.27,0.21,3,-0.26,0.22,3,-0.28,0.2,3,-0.22,0.26,2,-0.22,0.19,1,-0.3,0.16,3,-0.26,0.2,3
3,19.36,-99.162,841,-0.1,0.34,2,-0.09,0.35,2,-0.08,0.36,2,-0.08,0.35,2,-0.08,0.35,2,-0.13,0.14,1,-0.16,0.12,1,-0.1,0.28,2
4,19.368,-99.175,1048,-0.18,0.53,2,-0.21,0.57,2,-0.17,0.59,2,-0.14,0.57,2,-0.15,0.57,2,-0.18,0.24,1,-0.21,0.16,1,-0.17,0.46,2
5,19.365,-99.174,1049,-0.17,0.39,2,-0.17,0.42,2,-0.18,0.41,2,-0.17,0.43,2,-0.17,0.4,2,-0.21,0.15,1,-0.22,0.13,1,-0.18,0.33,2
6,19.371,-99.176,1047,-0.28,0.65,5,-0.3,0.71,5,-0.37,0.7,5,-0.27,0.69,5,-0.24,0.67,2,-0.1,0.25,2,-0.14,0.24,1,-0.24,0.55,2
7,19.373,-99.184,961,-0.16,0.17,1,-0.16,0.16,6,-0.14,0.17,1,-0.14,0.17,1,-0.14,0.19,1,-0.13,0.1,1,-0.2,0.07,1,-0.15,0.14,1
8,19.425,-99.172,3945,-0.21,0.24,1,-0.24,0.25,2,-0.23,0.25,2,-0.22,0.26,2,-0.2,0.23,1,-0.15,0.11,1,-0.14,0.09,1,-0.19,0.2,1
9,19.434,-99.131,1017,-0.31,0.33,5,-0.37,0.37,6,-0.29,0.37,5,-0.32,0.38,5,-0.25,0.48,5,-0.21,0.25,2,-0.25,0.21,3,-0.28,0.34,5
10,19.371,-99.157,978,-0.21,0.26,2,-0.19,0.27,2,-0.2,0.27,2,-0.19,0.27,2,-0.17,0.29,2,-0.16,0.11,1,-0.19,0.09,1,-0.18,0.22,1
11,19.377,-99.159,1045,-0.2,0.18,1,-0.19,0.16,1,-0.21,0.17,1,-0.19,0.18,1,-0.17,0.21,1,-0.17,0.13,1,-0.15,0.13,1,-0.18,0.16,1
12,19.372,-99.172,976,-0.21,0.4,2,-0.3,0.42,5,-0.24,0.45,2,-0.22,0.43,2,-0.21,0.34,2,-0.09,0.12,1,-0.14,0.21,1,-0.2,0.33,2
13,19.385,-99.167,981,-0.18,0.82,2,-0.18,0.86,2,-0.2,0.85,2,-0.19,0.85,2,-0.13,0.83,2,-0.12,0.58,2,-0.21,0.5,2,-0.17,0.75,2
